kernel facedetect: Device 1:  "GeForce GTX TITAN Black"  6082Mb, sm_35, 2880 cores, Driver/Runtime ver.8.0/7.50
kernel facedetect: using OpenCV version 2.4.13
coordinator: frame 0 processing time 0.040279 secs, pixels different 918424841
coordinator: frame 0 delay to nominal 12.355064, fps 1
coordinator: frame 10 processing time 0.010754 secs, pixels different 801621
coordinator: frame 20 processing time 0.010677 secs, pixels different 1951748
coordinator: frame 30 processing time 0.012407 secs, pixels different 1722727
coordinator: frame 40 processing time 0.012641 secs, pixels different 1643127
coordinator: frame 50 processing time 0.013445 secs, pixels different 1569315
coordinator: frame 60 processing time 0.010546 secs, pixels different 1430353
coordinator: frame 69 delay to nominal 10.490789, fps 69
coordinator: frame 70 processing time 0.013437 secs, pixels different 1356559
coordinator: frame 80 processing time 0.013019 secs, pixels different 1232591
coordinator: frame 90 processing time 0.012717 secs, pixels different 1109158
coordinator: frame 100 processing time 0.014690 secs, pixels different 964350
coordinator: frame 110 processing time 0.014529 secs, pixels different 797432
coordinator: frame 120 processing time 0.011352 secs, pixels different 663916
coordinator: frame 130 processing time 0.012484 secs, pixels different 481531
coordinator: frame 136 delay to nominal 8.702412, fps 67
coordinator: frame 140 processing time 0.004439 secs, pixels different 100600736
coordinator: frame 150 processing time 0.010827 secs, pixels different 36591619
coordinator: frame 160 processing time 0.012099 secs, pixels different 4523029
coordinator: frame 170 processing time 0.012933 secs, pixels different 3981445
coordinator: frame 180 processing time 0.014503 secs, pixels different 2468447
coordinator: frame 190 processing time 0.012652 secs, pixels different 3676310
coordinator: frame 199 delay to nominal 7.086815, fps 63
coordinator: frame 200 processing time 0.012468 secs, pixels different 2711730
coordinator: frame 210 processing time 0.012680 secs, pixels different 4165528
coordinator: frame 220 processing time 0.011606 secs, pixels different 4098475
coordinator: frame 230 processing time 0.013460 secs, pixels different 4015623
coordinator: frame 240 processing time 0.012486 secs, pixels different 2051489
coordinator: frame 250 processing time 0.020750 secs, pixels different 3249581
coordinator: frame 255 delay to nominal 5.762311, fps 56
coordinator: frame 260 processing time 0.010761 secs, pixels different 5289719
coordinator: frame 270 processing time 0.012903 secs, pixels different 3750364
coordinator: frame 280 processing time 0.015732 secs, pixels different 2291551
coordinator: frame 290 processing time 0.014520 secs, pixels different 1349557
coordinator: frame 300 processing time 0.012501 secs, pixels different 2721739
coordinator: frame 310 processing time 0.012281 secs, pixels different 1012453
coordinator: frame 320 processing time 0.010100 secs, pixels different 4112489
coordinator: frame 325 delay to nominal 3.847690, fps 70
coordinator: frame 330 processing time 0.013658 secs, pixels different 3609496
coordinator: frame 340 processing time 0.011778 secs, pixels different 2200402
coordinator: frame 350 processing time 0.011804 secs, pixels different 3417894
coordinator: frame 360 processing time 0.002379 secs, pixels different 3101469
coordinator: frame 370 processing time 0.011366 secs, pixels different 1957315
